UserID|IsUnsubscribed|AllowMarketingEmails|AllowMarketingSMS
5bc49355-94e3-4dc7-a79f-0da4306760f3|true|true|true
482b077d-a8c4-4385-9e6a-3e8fe0c88b8b|true|false|false
9cb8a315-5486-43b8-94a8-4853f65b19fb|true|true|true
a8c64ed7-5593-4456-bd9c-c44146137004|true|true|true
8c603a29-ba16-4db3-bef1-abdcfcca1703|true|false|false
164768ad-59fe-487b-91d7-ec63972242d4|true|false|false
48f8eb4d-eb44-4205-9f44-2b32d585e7a2|true|true|true
e390289a-64b4-48f7-a60d-1a434f714c0d|true|true|true
bd629aef-6f9f-482f-9b6a-cef8df0638dc|false|true|false
74d8a7e4-94cb-41db-bab8-97bc362f89da|false|true|false
a7098b6f-464a-4361-bd71-1cae70f6da98|true|true|true
460eb465-7241-44ae-a8c6-ab5f27039695|true|true|true
27afc8ad-23ef-4829-be80-74dd5fd5d783|true|true|true
7c083fb4-e8e3-4e1a-a90a-dfe9411db2ac|true|true|true
5af90099-7615-4033-b76f-b4ef70f87414|true|false|false
1211c30f-ed68-44a9-828b-5f149113b7c8|true|false|false
dc8faaac-8703-4655-8bda-182641581c5c|true|false|false
9177f32f-bc84-4952-aca5-41b1a7b3bfc3|false|true|false
1e72a208-9647-4e68-b70b-678ea2f93e76|false|true|true
0218867a-45e7-400a-a68b-1fa60ded5da2|true|false|false
d961bba1-d042-4f73-a618-9b625a72fee0|true|false|false
4c62c87e-1a1d-4615-a6f2-71539ffcee7b|true|true|true
341889b4-290c-46eb-956d-fd66b2fb3457|true|true|true
31e1afdb-1d98-47db-966d-0ff030a37d74|true|true|true
80298ccf-a3cf-4ab8-a3e0-535c344d8b42|true|true|true
b591a3dd-73a4-4605-a77c-3a6d0e77a558|true|true|true
4d4e02d4-3b64-4dab-a238-8276146ee1f9|true|false|false
d8d16e19-4ae9-486b-92a2-b17439b8a07b|true|false|false
b9726227-0049-4e4f-a872-c998c2df1b83|false|true|false
0d2abfa8-3951-4137-8939-9d0348d293ce|true|true|true
f6f1321d-b185-4e30-ab5b-fbbbfc1ae948|true|true|true
6673120a-e52f-44ad-b21c-d8d1f6e90394|true|true|true
19db3419-be40-4256-9294-9abd66a3ce07|true|true|true
28bbdec2-96ee-4ec5-a828-d4e28b264363|true|true|true
8996d9f7-0f88-4493-8820-9156e7060643|true|true|true
bcfdb7c6-2b3e-4619-b5e3-dba26a782d07|true|true|true
72ed8a88-6d81-4902-adfb-2b732d5cb598|false|true|false
b1d46e7f-e3e7-401d-9738-7e0b3fecd375|false|true|true
063b8efe-04a5-4001-8e9b-aa45565474a5|false|true|false
9ec48db0-02dd-4691-8315-a9f5dac92a1a|false|true|false
1266c66e-4e38-4801-b07d-05656c93210e|false|true|false
c509d5ba-aaeb-4dab-9d69-38335bc6232d|true|false|false
997904ea-3905-46dd-9a64-a29bfe199b9b|false|true|true
8695e148-5a00-4907-b299-f2630652a694|false|true|false
e3a3aa89-d395-44b8-8af9-527c3aa0bec7|true|false|false
ccbd4341-13d5-4569-b8b3-6479ec100487|true|false|false
c2f8f16f-ac90-4eb2-a8e3-d235730859e9|false|true|true
107be06d-9afb-48b6-9e0e-b0586741260f|true|false|false
87d21008-acdc-4d33-afb7-a18cde27d0e3|true|false|false
53753714-541c-4fda-a2a1-16d01f2b800f|true|false|false
